线束零件号,零件名称,零件号,物料名称/零件名称,是否半成品,物料型号/SAP,回路,数量,单位,供应商,其他备注,总成号,责任人,非导线,铝重,铜重,非铜,导线,材料成本,铝重,铜重,导线成本,币种,价格类型,备注
6608442963,电动压缩机线束总成,114022500495,屏蔽外套管,N,/,,2,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,113990001502,尾盖组件,N,/,,1,PCS,永贵,客户指定,,江苏林,0,0,0,0,0,0,0,0,0,CNY,散件,0
6608442963,电动压缩机线束总成,F02-372010-B04,左尾盖,N,/,,1,PCS,八达,客户指定,F02-372011-110,王晶鑫,20,0,0,0,0,20,0,0,0,CNY,总成参考价,0
6608442963,电动压缩机线束总成,F02-372010-G01,密封圈,N,/,,1,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-03H,屏蔽环,N,/,,4,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-B02,上内壳体,N,/,,2,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-07H,上屏蔽罩,N,/,,2,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-B03,下内壳体,N,/,,2,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-08H,下屏蔽罩,N,/,,2,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-04H,屏蔽环,N,/,,2,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-09B,屏蔽内环,N,/,,2,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F11-001-000082,护套,N,/,,1,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-G06,密封圈,N,/,,1,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,F02-372010-B12,尾盖,N,/,,1,PCS,八达,客户指定,,王晶鑫,0,0,0,0,0,0,0,0,0,0,散件,0
6608442963,电动压缩机线束总成,HS-125 7.0-20,不带胶-热缩管,N,A04101984,,2,PCS,深圳宏商/长春海达,★,,0,0.0152,0,0,0,0,0.0304,0,0,0,CNY,系统价,0
6608442963,电动压缩机线束总成,FHLALR91XCCAATB91X/4.0/橙,4.0mm²屏蔽镀锡铜包铝交联铝导线,N,/,,2.2,M,太平洋/鑫宏业,★,,郑锦清,0,17.64,4.79,1438.88,2.1386479,4.70502538,0.038808,10.538,4.70502538,CNY,批量价,0
6608442963,电动压缩机线束总成,LG3305D012B,12OR橙色波纹管,N,A04101161,,0.45,M,骏鼎达/诗兰姆,★,,0,0.62,0,0,0,0,0.279,0,0,0,CNY,系统价,0
6608442963,电动压缩机线束总成,LY5016019-OR2,橙色布基胶带,N,A04101159,,1,M,联益,★,,0,0.22,0,0,0,0,0.22,0,0,0,CNY,系统价,0
6608442963,电动压缩机线束总成,P111W0192510002,橙色PVC胶带,N,A04101670,,4,M,亚化,★,,0,0.07,0,0,0,0,0.28,0,0,0,CNY,系统价,0
6608442963,电动压缩机线束总成,PP9108801,7*12加高箭头扎带,N,A06010236,,1,PCS,上海众安/海尔曼太通,★,,0,0.095,0,0,0,0,0.095,0,0,0,CNY,系统价,0
6608442963,电动压缩机线束总成,PP9114201,M6抬高螺柱卡,N,A06003890,,1,PCS,上海众安/海尔曼太通,★,,0,0.1,0,0,0,0,0.1,0,0,0,CNY,系统价,0
6608442963,电动压缩机线束总成,PP9109401,M6杉树卡扣,N,A06003888,,1,PCS,上海众安/海尔曼太通,★,,0,0.128,0,0,0,0,0.128,0,0,0,CNY,系统价,0
6608442963,电动压缩机线束总成,X1-BQ-01 标签140x30mm,产品标签,N,70002326,,1,PCS,洪众,,,0,0.14,0,0,0,0,0.14,0,0,0,CNY,系统价,0
6608516992,电动压缩机线束总成,2521188-1,连接器总成,N,/,,1,SET,TE,客户指定,2521188-1,洪巧明,13,0,0,0,0,13,0,0,0,CNY,总成参考价,0
