★,"若有其他方案推荐,经评估可行后可更新至K列",,,,,,,,,,,,,
组件描述,物料名称（英文/中文）,用量,单位,供应商名称,SAP号,备注,责任人,单价,铝重,铜重,非铜,币别,价格类型,备注
E281-HB-01,塑料护板上盖,3,PCS,博昊/天久/华凯,/,亿格,王永东,2.2,,,,CNY,分摊价,含100000分摊
E281-HB-02,塑料护板下盖,3,PCS,博昊/天久/华凯,/,亿格,王永东,2.7,,,,CNY,分摊价,含100000分摊
E281-ZJ-01,金属支架,3,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.38,,,,CNY,分摊价,含100000分摊
E281-ZJ-02,金属支架,3,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.38,,,,CNY,分摊价,含100000分摊
E281-ZJ-03,金属支架,3,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.38,,,,CNY,分摊价,含100000分摊
E281-ZJ-04,金属支架,3,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.18,,,,CNY,分摊价,含100000分摊
E281-XJ-01,橡胶件,9,PCS,恒伟林/远信/博昊/天乐,/,博昊,狄斌,4.28,,,,CNY,分摊价,含100000分摊
E281-XJ-02,橡胶件,3,PCS,恒伟林/远信/博昊/天乐,/,博昊,狄斌,1.2,,,,CNY,分摊价,含100000分摊
E281-XJ-03,橡胶件,3,PCS,恒伟林/远信/博昊/天乐,/,博昊,狄斌,1.2,,,,CNY,分摊价,含100000分摊
E281-XJ-04,橡胶件,3,PCS,恒伟林/远信/博昊/天乐,/,博昊,狄斌,2.17,,,,CNY,分摊价,含100000分摊
PP9108401,M8箭头卡扣,3,PCS,上海众安/海尔曼太通,/,★,邹娇,0.13,,,,CNY,询价,
PP9123801,M5螺柱卡扣,3,PCS,上海众安/海尔曼太通,/,★,邹娇,0.08,,,,CNY,询价,
PP9117701,M6杉树卡扣,3,PCS,上海众安/海尔曼太通,A06004922,★,,0.05615,,,,CNY,系统价,
PP9220301,7*12箭头一字卡,3,PCS,上海众安/海尔曼太通,A06004079,★,,0.1231,,,,CNY,系统价,
108-00150,扎带绳,12,PCS,上海众安/海尔曼太通,A06100602,★,,0.22,,,,CNY,系统价,
HVSPC2P1900FV112,ODP端连接器（直流）,1,SET,安费诺,/,客户指定,胡继燕,33,,,,CNY,参考价,
E281-ZJ-05,金属支架,1,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.48,,,,CNY,分摊价,含100000分摊
E281-XJ-05,橡胶件,2,PCS,恒伟林/远信/博昊/天乐,/,博昊,狄斌,1.17,,,,CNY,分摊价,含100000分摊
E281-HB-05,塑料支架（带2个衬套）,1,PCS,博昊/天久/华凯,/,亿格,王永东,5.1,,,,CNY,分摊价,含100000分摊
E281-ZJ-08,金属支架,1,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.72,,,,CNY,分摊价,含100000分摊
E281-ZJ-09,金属支架,1,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.06,,,,CNY,分摊价,含100000分摊
E281-ZJ-10,金属支架,1,PCS,恒伟林/贵龙/华凯,/,华凯,王永东,2.18,,,,CNY,分摊价,含100000分摊
E281-XJ-07,橡胶件,1,PCS,恒伟林/远信/博昊/天乐,/,博昊,狄斌,3.08,,,,CNY,分摊价,含100000分摊
E281-XJ-08,橡胶件,2,PCS,恒伟林/远信/博昊/天乐,/,博昊,狄斌,1.43,,,,CNY,分摊价,含100000分摊
