工作表,行号,列号,单元格,数据值,公式
KSK线束BOM明细,111,X,X111,"=IFERROR(VLOOKUP($C111,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C111,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,111,Y,Y111,"=IFERROR(VLOOKUP($C111,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C111,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,112,A,A112,6608516992,
KSK线束BOM明细,112,B,B112,电动压缩机线束总成,
KSK线束BOM明细,112,C,C112,P111W0192510002,
KSK线束BOM明细,112,D,D112,橙色PVC胶带,
KSK线束BOM明细,112,E,E112,N,
KSK线束BOM明细,112,F,F112,A04101670,
KSK线束BOM明细,112,H,H112,4,
KSK线束BOM明细,112,I,I112,M,
KSK线束BOM明细,112,J,J112,亚化,
KSK线束BOM明细,112,K,K112,★,
KSK线束BOM明细,112,M,M112,"=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,112,N,N112,"=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,112,O,O112,"=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,112,P,P112,"=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,112,Q,Q112,"=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,112,R,R112,=O112/1000*18.91+P112/1000*76.45+Q112/1000,=O112/1000*18.91+P112/1000*76.45+Q112/1000
KSK线束BOM明细,112,S,S112,=(N112+R112)*H112,=(N112+R112)*H112
KSK线束BOM明细,112,T,T112,=O112/1000*H112,=O112/1000*H112
KSK线束BOM明细,112,U,U112,=P112*H112,=P112*H112
KSK线束BOM明细,112,V,V112,=R112*H112,=R112*H112
KSK线束BOM明细,112,W,W112,"=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,112,X,X112,"=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,112,Y,Y112,"=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C112,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,113,A,A113,6608516992,
KSK线束BOM明细,113,B,B113,电动压缩机线束总成,
KSK线束BOM明细,113,C,C113,PP9108801,
KSK线束BOM明细,113,D,D113,7*12加高箭头扎带,
KSK线束BOM明细,113,E,E113,N,
KSK线束BOM明细,113,F,F113,A06010236,
KSK线束BOM明细,113,H,H113,1,
KSK线束BOM明细,113,I,I113,PCS,
KSK线束BOM明细,113,J,J113,上海众安/海尔曼太通,
KSK线束BOM明细,113,K,K113,★,
KSK线束BOM明细,113,M,M113,"=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,113,N,N113,"=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,113,O,O113,"=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,113,P,P113,"=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,113,Q,Q113,"=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,113,R,R113,=O113/1000*18.91+P113/1000*76.45+Q113/1000,=O113/1000*18.91+P113/1000*76.45+Q113/1000
KSK线束BOM明细,113,S,S113,=(N113+R113)*H113,=(N113+R113)*H113
KSK线束BOM明细,113,T,T113,=O113/1000*H113,=O113/1000*H113
KSK线束BOM明细,113,U,U113,=P113*H113,=P113*H113
KSK线束BOM明细,113,V,V113,=R113*H113,=R113*H113
KSK线束BOM明细,113,W,W113,"=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,113,X,X113,"=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,113,Y,Y113,"=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C113,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,114,A,A114,6608516992,
KSK线束BOM明细,114,B,B114,电动压缩机线束总成,
KSK线束BOM明细,114,C,C114,PP9114201,
KSK线束BOM明细,114,D,D114,M6抬高螺柱卡,
KSK线束BOM明细,114,E,E114,N,
KSK线束BOM明细,114,F,F114,A06003890,
KSK线束BOM明细,114,H,H114,1,
KSK线束BOM明细,114,I,I114,PCS,
KSK线束BOM明细,114,J,J114,上海众安/海尔曼太通,
KSK线束BOM明细,114,K,K114,★,
KSK线束BOM明细,114,M,M114,"=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,114,N,N114,"=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,114,O,O114,"=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,114,P,P114,"=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,114,Q,Q114,"=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,114,R,R114,=O114/1000*18.91+P114/1000*76.45+Q114/1000,=O114/1000*18.91+P114/1000*76.45+Q114/1000
KSK线束BOM明细,114,S,S114,=(N114+R114)*H114,=(N114+R114)*H114
KSK线束BOM明细,114,T,T114,=O114/1000*H114,=O114/1000*H114
KSK线束BOM明细,114,U,U114,=P114*H114,=P114*H114
KSK线束BOM明细,114,V,V114,=R114*H114,=R114*H114
KSK线束BOM明细,114,W,W114,"=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,114,X,X114,"=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,114,Y,Y114,"=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C114,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,115,A,A115,6608516992,
KSK线束BOM明细,115,B,B115,电动压缩机线束总成,
KSK线束BOM明细,115,C,C115,PP9109401,
KSK线束BOM明细,115,D,D115,M6杉树卡扣,
KSK线束BOM明细,115,E,E115,N,
KSK线束BOM明细,115,F,F115,A06003888,
KSK线束BOM明细,115,H,H115,1,
KSK线束BOM明细,115,I,I115,PCS,
KSK线束BOM明细,115,J,J115,上海众安/海尔曼太通,
KSK线束BOM明细,115,K,K115,★,
KSK线束BOM明细,115,M,M115,"=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,115,N,N115,"=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,115,O,O115,"=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,115,P,P115,"=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,115,Q,Q115,"=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,115,R,R115,=O115/1000*18.91+P115/1000*76.45+Q115/1000,=O115/1000*18.91+P115/1000*76.45+Q115/1000
KSK线束BOM明细,115,S,S115,=(N115+R115)*H115,=(N115+R115)*H115
KSK线束BOM明细,115,T,T115,=O115/1000*H115,=O115/1000*H115
KSK线束BOM明细,115,U,U115,=P115*H115,=P115*H115
KSK线束BOM明细,115,V,V115,=R115*H115,=R115*H115
KSK线束BOM明细,115,W,W115,"=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,115,X,X115,"=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,115,Y,Y115,"=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C115,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,116,A,A116,6608516992,
KSK线束BOM明细,116,B,B116,电动压缩机线束总成,
KSK线束BOM明细,116,C,C116,X1-BQ-01 标签140x30mm,
KSK线束BOM明细,116,D,D116,产品标签,
KSK线束BOM明细,116,E,E116,N,
KSK线束BOM明细,116,F,F116,70002326,
KSK线束BOM明细,116,H,H116,1,
KSK线束BOM明细,116,I,I116,PCS,
KSK线束BOM明细,116,J,J116,洪众,
KSK线束BOM明细,116,M,M116,"=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,116,N,N116,"=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,116,O,O116,"=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,116,P,P116,"=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,116,Q,Q116,"=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,116,R,R116,=O116/1000*18.91+P116/1000*76.45+Q116/1000,=O116/1000*18.91+P116/1000*76.45+Q116/1000
KSK线束BOM明细,116,S,S116,=(N116+R116)*H116,=(N116+R116)*H116
KSK线束BOM明细,116,T,T116,=O116/1000*H116,=O116/1000*H116
KSK线束BOM明细,116,U,U116,=P116*H116,=P116*H116
KSK线束BOM明细,116,V,V116,=R116*H116,=R116*H116
KSK线束BOM明细,116,W,W116,"=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,116,X,X116,"=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,116,Y,Y116,"=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C116,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,117,A,A117,6608519100,
KSK线束BOM明细,117,B,B117,电动压缩机线束总成,
KSK线束BOM明细,117,C,C117,2521188-1,
KSK线束BOM明细,117,D,D117,连接器总成,
KSK线束BOM明细,117,E,E117,N,
KSK线束BOM明细,117,F,F117,/,
KSK线束BOM明细,117,H,H117,1,
KSK线束BOM明细,117,I,I117,SET,
KSK线束BOM明细,117,J,J117,TE,
KSK线束BOM明细,117,K,K117,客户指定,
KSK线束BOM明细,117,L,L117,2521188-1,
KSK线束BOM明细,117,M,M117,"=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,117,N,N117,"=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,117,O,O117,"=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,117,P,P117,"=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,117,Q,Q117,"=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,117,R,R117,=O117/1000*18.91+P117/1000*76.45+Q117/1000,=O117/1000*18.91+P117/1000*76.45+Q117/1000
KSK线束BOM明细,117,S,S117,=(N117+R117)*H117,=(N117+R117)*H117
KSK线束BOM明细,117,T,T117,=O117/1000*H117,=O117/1000*H117
KSK线束BOM明细,117,U,U117,=P117*H117,=P117*H117
KSK线束BOM明细,117,V,V117,=R117*H117,=R117*H117
KSK线束BOM明细,117,W,W117,"=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,117,X,X117,"=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,117,Y,Y117,"=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C117,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,118,A,A118,6608519100,
KSK线束BOM明细,118,B,B118,电动压缩机线束总成,
KSK线束BOM明细,118,C,C118,PEVC-040-P42A-004-W,
KSK线束BOM明细,118,D,D118,连接器总成,
KSK线束BOM明细,118,E,E118,N,
KSK线束BOM明细,118,F,F118,/,
KSK线束BOM明细,118,H,H118,1,
KSK线束BOM明细,118,I,I118,SET,
KSK线束BOM明细,118,J,J118,菲尼克斯,
KSK线束BOM明细,118,K,K118,客户指定,
KSK线束BOM明细,118,L,L118,PEVC-040-P42A-004-W,
KSK线束BOM明细,118,M,M118,"=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,118,N,N118,"=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,118,O,O118,"=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,118,P,P118,"=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,118,Q,Q118,"=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,118,R,R118,=O118/1000*18.91+P118/1000*76.45+Q118/1000,=O118/1000*18.91+P118/1000*76.45+Q118/1000
KSK线束BOM明细,118,S,S118,=(N118+R118)*H118,=(N118+R118)*H118
KSK线束BOM明细,118,T,T118,=O118/1000*H118,=O118/1000*H118
KSK线束BOM明细,118,U,U118,=P118*H118,=P118*H118
KSK线束BOM明细,118,V,V118,=R118*H118,=R118*H118
KSK线束BOM明细,118,W,W118,"=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,118,X,X118,"=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,118,Y,Y118,"=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C118,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,119,A,A119,6608519100,
KSK线束BOM明细,119,B,B119,电动压缩机线束总成,
KSK线束BOM明细,119,C,C119,FHLALR91XCCAATB91X/4.0/橙,
KSK线束BOM明细,119,D,D119,4.0mm²屏蔽镀锡铜包铝交联铝导线,
KSK线束BOM明细,119,E,E119,N,
KSK线束BOM明细,119,F,F119,/,
KSK线束BOM明细,119,H,H119,1.98,
KSK线束BOM明细,119,I,I119,M,
KSK线束BOM明细,119,J,J119,太平洋/鑫宏业,
KSK线束BOM明细,119,K,K119,★,
KSK线束BOM明细,119,M,M119,"=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,119,N,N119,"=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,119,O,O119,"=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,119,P,P119,"=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,119,Q,Q119,"=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,119,R,R119,=O119/1000*18.91+P119/1000*76.45+Q119/1000,=O119/1000*18.91+P119/1000*76.45+Q119/1000
KSK线束BOM明细,119,S,S119,=(N119+R119)*H119,=(N119+R119)*H119
KSK线束BOM明细,119,T,T119,=O119/1000*H119,=O119/1000*H119
KSK线束BOM明细,119,U,U119,=P119*H119,=P119*H119
KSK线束BOM明细,119,V,V119,=R119*H119,=R119*H119
KSK线束BOM明细,119,W,W119,"=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,119,X,X119,"=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,119,Y,Y119,"=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C119,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,120,A,A120,6608519100,
KSK线束BOM明细,120,B,B120,电动压缩机线束总成,
KSK线束BOM明细,120,C,C120,LG3305D012B,
KSK线束BOM明细,120,D,D120,12OR橙色波纹管,
KSK线束BOM明细,120,E,E120,N,
KSK线束BOM明细,120,F,F120,A04101161,
KSK线束BOM明细,120,H,H120,0.8,
KSK线束BOM明细,120,I,I120,M,
KSK线束BOM明细,120,J,J120,骏鼎达/诗兰姆,
KSK线束BOM明细,120,K,K120,★,
KSK线束BOM明细,120,M,M120,"=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,120,N,N120,"=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,120,O,O120,"=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,120,P,P120,"=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,120,Q,Q120,"=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,120,R,R120,=O120/1000*18.91+P120/1000*76.45+Q120/1000,=O120/1000*18.91+P120/1000*76.45+Q120/1000
KSK线束BOM明细,120,S,S120,=(N120+R120)*H120,=(N120+R120)*H120
KSK线束BOM明细,120,T,T120,=O120/1000*H120,=O120/1000*H120
KSK线束BOM明细,120,U,U120,=P120*H120,=P120*H120
KSK线束BOM明细,120,V,V120,=R120*H120,=R120*H120
KSK线束BOM明细,120,W,W120,"=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,120,X,X120,"=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,120,Y,Y120,"=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C120,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,121,A,A121,6608519100,
KSK线束BOM明细,121,B,B121,电动压缩机线束总成,
KSK线束BOM明细,121,C,C121,LY5016019-OR2,
KSK线束BOM明细,121,D,D121,橙色布基胶带,
KSK线束BOM明细,121,E,E121,N,
KSK线束BOM明细,121,F,F121,A04101159,
KSK线束BOM明细,121,H,H121,0.6,
KSK线束BOM明细,121,I,I121,M,
KSK线束BOM明细,121,J,J121,联益,
KSK线束BOM明细,121,K,K121,★,
KSK线束BOM明细,121,M,M121,"=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,121,N,N121,"=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,121,O,O121,"=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,121,P,P121,"=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,121,Q,Q121,"=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,121,R,R121,=O121/1000*18.91+P121/1000*76.45+Q121/1000,=O121/1000*18.91+P121/1000*76.45+Q121/1000
KSK线束BOM明细,121,S,S121,=(N121+R121)*H121,=(N121+R121)*H121
KSK线束BOM明细,121,T,T121,=O121/1000*H121,=O121/1000*H121
KSK线束BOM明细,121,U,U121,=P121*H121,=P121*H121
KSK线束BOM明细,121,V,V121,=R121*H121,=R121*H121
KSK线束BOM明细,121,W,W121,"=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,121,X,X121,"=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,121,Y,Y121,"=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C121,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,122,A,A122,6608519100,
KSK线束BOM明细,122,B,B122,电动压缩机线束总成,
KSK线束BOM明细,122,C,C122,P111W0192510002,
KSK线束BOM明细,122,D,D122,橙色PVC胶带,
KSK线束BOM明细,122,E,E122,N,
KSK线束BOM明细,122,F,F122,A04101670,
KSK线束BOM明细,122,H,H122,2,
KSK线束BOM明细,122,I,I122,M,
KSK线束BOM明细,122,J,J122,亚化,
KSK线束BOM明细,122,K,K122,★,
KSK线束BOM明细,122,M,M122,"=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,8,0),0)","=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,8,0),0)"
KSK线束BOM明细,122,N,N122,"=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,9,0),0)","=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,9,0),0)"
KSK线束BOM明细,122,O,O122,"=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,10,0),0)","=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,10,0),0)"
KSK线束BOM明细,122,P,P122,"=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,11,0),0)","=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,11,0),0)"
KSK线束BOM明细,122,Q,Q122,"=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,12,0),0)","=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,12,0),0)"
KSK线束BOM明细,122,R,R122,=O122/1000*18.91+P122/1000*76.45+Q122/1000,=O122/1000*18.91+P122/1000*76.45+Q122/1000
KSK线束BOM明细,122,S,S122,=(N122+R122)*H122,=(N122+R122)*H122
KSK线束BOM明细,122,T,T122,=O122/1000*H122,=O122/1000*H122
KSK线束BOM明细,122,U,U122,=P122*H122,=P122*H122
KSK线束BOM明细,122,V,V122,=R122*H122,=R122*H122
KSK线束BOM明细,122,W,W122,"=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,13,0),0)","=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,13,0),0)"
KSK线束BOM明细,122,X,X122,"=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,14,0),0)","=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,14,0),0)"
KSK线束BOM明细,122,Y,Y122,"=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,15,0),0)","=IFERROR(VLOOKUP($C122,二次物料明细!$A:$O,15,0),0)"
KSK线束BOM明细,123,A,A123,6608519100,
KSK线束BOM明细,123,B,B123,电动压缩机线束总成,
KSK线束BOM明细,123,C,C123,PP9104320,
KSK线束BOM明细,123,D,D123,7*12箭头扎带,
